,expediente,tipo de contrato,estado,importe,fechas,organo de contratacion
10,"106/2022/188
Obras comprendidas en el Proyecto de Reurbanización de la calle San Andrés","Obras
Construcción",Resuelta,"3.052.175,10","Publicación PLACSP:
Adjudicación:20/12/2023
Formalización:28/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
11,"521/2022/1025
Obras de mejoras de accesibilidad en las paradas de autobús. Financiado con los fondos Next Generation EU","Obras
Construcción",Adjudicada,"573.986,91","Publicación PLACSP:
Adjudicación:07/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
12,"521/2021/449
Procedimiento abierto simplificado para la contratación de las obras de ejecución de una glorieta en el cruce de la Avenida de Finisterre con la calle Gambrinus, financiado por la Unión Europea - Next Generation","Obras
Construcción general de inmuebles y obras de ingeniería civil",Adjudicada,"322.790,03","Publicación PLACSP:
Adjudicación:07/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
13,"521/2022/535
Obras de mejora de accesibilidad mediante elementos electromecánicos en calle Pintor Villar Chao, financiado con los fondos Next Generation EU","Obras
Construcción",Adjudicada,"357.954,28","Publicación PLACSP:
Adjudicación:07/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
14,"851/2023/101 L3 y L4
Suministro, Servicios y Obras de Estaciones y anclajes, bicicletas con asistencia al pedaleo, un vehículo furgón eléctrico y un centro de lavado para ampliación y mejora del sistema público de alquiler de bicicletas, en el marco del Plan de Recuperación, Transformación y Resiliencia -Next Generation, financiado por la Unión Europea.","Suministros
Adquisición",Adjudicada,"2.122.314,05","Publicación PLACSP:
Adjudicación:07/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
15,"851/2023/101
Suministro, Servicios y Obras de Estaciones y anclajes, bicicletas con asistencia al pedaleo, un vehículo furgón eléctrico y un centro de lavado para ampliación y mejora del sistema público de alquiler de bicicletas, en el marco del Plan de Recuperación, Transformación y Resiliencia -Next Generation, financiado por la Unión Europea.","Suministros
Adquisición",Parcialmente Adjudicada,"2.122.314,05","Publicación PLACSP:
Adjudicación:07/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
16,"521/2022/981
Mejora de la Accesibilidad Pasarela de la calle Fonte Grande y Mitigación del riesgo de inundación del cauce del río Mesoiro. POS+2023","Obras
Construcción",Adjudicada,"106.449,76","Publicación PLACSP:
Adjudicación:21/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
17,"105/2023/2844
Realización de actividades en Espacios de compensación socioeducativa extraescolar en O Portiño y As Rañas, dentro del programa de acciones para la inclusión social de la población gitana. Por lotes.","Servicios
Otros servicios",Adjudicada,"87.264,55","Publicación PLACSP:
Adjudicación:29/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
18,"A31/2022/87
Servicio de Soporte Informático de la Plataforma Policial EUROCOP","Servicios
Otros servicios",Adjudicada,"111.764,00","Publicación PLACSP:
Adjudicación:16/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
19,"211/2023/882
Servicios de organización de la carrera popular Media Maratón Coruña C21 en la ciudad de A Coruña en el año 2024, que se va a realizar en esta ciudad el día 25 de febrero de 2024. Paralelamente y aprovechando la infraestructura del evento se organizará una carrera popular de 5 Km de recorrido que servirá como entrenamiento para el circuito de carrera.","Servicios
Servicios de esparcimiento, culturales y deportivos",Resuelta,"21.659,40","Publicación PLACSP:
Adjudicación:12/02/2024
Formalización:15/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
20,"A31/2022/115
Servicio de Soporte y Mantenimiento especializado para la Plataforma Socyal V3","Servicios
Servicios de mantenimiento y reparación",Resuelta,"27.192,00","Publicación PLACSP:
Adjudicación:10/01/2024
Formalización:14/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
21,"370/2024/26
Concierto de una operación de préstamo, con previa apertura de crédito, destinada a la financiación de inversiones incluidas en el presupuesto general del Ayuntamiento para 2024, aprobado definitivamente en Pleno el 28 de diciembre de 2023, por importe de 22.763.291,51 €",Privado,Evaluación,"22.763.291,51","Present. Solicitud:16/02/2024
Present. Oferta:16/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
22,"236/2023/57
Procedimiento abierto simplificado para la contratación del servicio de transporte de viajeros destinado al alumnado que participe en actividades integradas en la programación educativa municipal desarrollada por el Servicio Municipal de Educación durante el curso escolar.","Servicios
Servicios de transporte por vía terrestre, incluidos los servicios de furgones blindados y servicios de mensajería, excepto el transporte de correo",Resuelta,"58.050,00","Publicación PLACSP:
Adjudicación:11/01/2024
Formalización:07/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
23,"851/2023/103
Contratación mixta de suministro e instalación de señalización para refuerzo de pasos de peatones en la Ciudad de A Coruña, en el marco del Plan de Recuperación, Transformación y Resiliencia- Next Generation, Financiado por la Unión Europea","Suministros
Adquisición",Adjudicada,"231.404,96","Publicación PLACSP:
Adjudicación:29/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
24,"237/2023/208
Procedimiento abierto simplificado de tramitación abreviada para contratar la gestión integral de puntos violeta dirigidos a informar, sensibilizar e intervenir en materia de violencias machistas en períodos de ocio en el ayuntamiento de A Coruña","Servicios
Otros servicios",Adjudicada,"59.534,03","Publicación PLACSP:
Adjudicación:31/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
25,"231/2022/231
Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes","Suministros
Adquisición",Resuelta,"93.420,22","Publicación PLACSP:
Adjudicación:29/12/2023
Formalización:31/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
26,"861/2023/13
Contrato del servicio de mantenimiento y reparación integral de los vehículos de la Policía Local de A Coruña, por lotes","Servicios
Servicios de mantenimiento y reparación",Resuelta,"71.900,83","Publicación PLACSP:
Adjudicación:29/12/2023
Formalización:30/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
27,"521/2020/371
Redacción de proyecto constructivo, dirección de obra y coordinación de seguridad y salud correspondientes a las obras del “plan de humanización y naturalización del Paseo Marítimo de A Coruña” cofinanciadas por el Fondo Europeo de Desarrollo Regional –FEDER- en el marco del programa operativo plurirregional de España 2014-2020","Servicios
Servicios de arquitectura; servicios de ingeniería y servicios integrados de ingeniería; servicios de planificación urbana y servicios de arquitectura paisajista. Servicios conexos de consultores en ciencia y tecnología. Servicios de ensayos y anílisis técnicos",Resuelta,"109.999,99","Publicación PLACSP:
Adjudicación:04/11/2020
Formalización:29/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
28,"350/2023/1
Servicios profesionales de auditores externos para llevar a cabo, en colaboración con la Intervención General Municipal del Ayuntamiento de A Coruña, las actuaciones de auditoría pública y control financiero de subvenciones programadas dentro de los Planes Anuales de Control Financiero del Ayuntamiento de A Coruña, por lotes","Servicios
Servicios de contabilidad, auditoría y teneduría de libros",Parcialmente Resuelta,"62.525,32","Publicación PLACSP:
Adjudicación:28/12/2023
Formalización:26/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
29,"526/2023/19 L4
Servicios para la Impartición de Acciones Formativas Presenciales del Servicio Municipal de Empleo y Empresa. Programación 2/23. LOTE 4 (manipulación de carga con carretillas elevadoras)","Servicios
Otros servicios",Resuelta,"139.794,79","Publicación PLACSP:
Adjudicación:28/12/2023
Formalización:24/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
30,"526/2023/19 L2
Servicios para la Impartición de Acciones Formativas Presenciales del Servicio Municipal de Empleo y Empresa. Programación 2/23. LOTE 2 (Pintura decorativa en la construcción)","Servicios
Otros servicios",Resuelta,"139.794,79","Publicación PLACSP:
Adjudicación:28/12/2023
Formalización:24/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
31,"105/2023/6073
Campamentos de Verano y Navidad, Campamentos de Día de Verano y Campamentos Tradicionales de Verano.","Servicios
Servicios de mantenimiento y reparación",Evaluación,"659.658,21",Present. Oferta:29/01/2024,Junta de Gobierno del Ayuntamiento de A Coruña
32,"430/2023/13
Servicio de Seguridad y Vigilancia y el Suministro e Instalación, Gestión y Mantenimiento de Sistemas Electrónicos de Seguridad y Vídeo Vigilancia, Servicio de Conexión a CRA, Servicio de Custodia de Llaves en Central Receptora de Alarmas (CRA), y de Intervención Inmediata (ACUDA) en los Edificios e Instalaciones Municipales Vinculados con el Servicio de Deportes del Concello de A Coruña","Servicios
Otros servicios",Evaluación,"435.115,13",Present. Oferta:29/01/2024,Junta de Gobierno del Ayuntamiento de A Coruña
33,"527/2023/28
Servicio de captación de centros, formación y organización del mercadillo, realizados en el marco del proyecto SEMENTE “una empresa en mi escuela”.","Servicios
Otros servicios",Resuelta,"35.818,73","Publicación PLACSP:
Adjudicación:14/12/2023
Formalización:16/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
34,"237/2023/160
Procedimiento abierto simplificado abreviado para la contratación del servicio de organización y ejecución del programa educativo de igualdad, diversidad y prevención de las violencias machistas dirigido al alumnado de los centros educativos del Ayuntamiento de A Coruña","Servicios
Otros servicios",Adjudicada,"59.981,81","Publicación PLACSP:
Adjudicación:12/01/2024",Junta de Gobierno del Ayuntamiento de A Coruña
35,"238/2023/294
Servicio de Diseño, Organización e Impartición de un Programa de Capacitación en Competencias Digitales de Soporte para Jóvenes con Prácticas en Empresas y Apoyo a la Inserción Laboral en el Marco de la Operación LA-32-OP32.1 (Cofinanciadas en un 80 % por el Fondo Europeo de Desarrollo Regional (Feder) en el Marco del Programa Operativo Plurirregional de España 2014-2020 (LA32-Op.32.1)","Servicios
Otros servicios",Resuelta,"64.800,00","Publicación PLACSP:
Adjudicación:28/12/2023",Junta de Gobierno del Ayuntamiento de A Coruña
36,"100/2023/8
Servicio de mantenimiento evolutivo, correctivo, adaptativo, preventivo y soporte de la Plataforma Cónsul.","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"39.917,58","Publicación PLACSP:
Adjudicación:29/12/2023",Junta de Gobierno del Ayuntamiento de A Coruña
37,"526/2023/50
Contrato de servicios para la impartición de las acciones formativas presenciales del Servicio Municipal de Empleo y Empresa. Programación 3/23, por lotes.","Servicios
Servicios de educación y formación profesional",Evaluación,"133.910,61",Present. Oferta:15/01/2024,Junta de Gobierno del Ayuntamiento de A Coruña
38,"831/2023/77
Contratación del suministro de una ambulancia para el Servicio de Extinción de Incendios y Salvamento (SEIS) del Ayuntamiento de A Coruña.","Suministros
Adquisición",Resuelta,"90.866,08","Publicación PLACSP:
Adjudicación:30/11/2023
Formalización:18/12/2023",Junta de Gobierno del Ayuntamiento de A Coruña
39,"430/2023/9 L1
Contratación, por lotes, del suministro de vestuario y otras prendas con destino al personal cuyo cometido lo requiere: Servicio de Prevención y Extinción de Incendios (SEIS), Servicios Funerarios y Servicio de Interior y Atención Ciudadana (protocolo y conserjería); Lote 1, suministro de ropa de uniformidad para el SEIS","Suministros
Adquisición",Evaluación,"26.024,95",Present. Oferta:02/01/2024,Junta de Gobierno del Ayuntamiento de A Coruña
40,"831/2023/52
Procedimiento abierto simplificado de tramitación abreviada para contratar el suministro de tabletas y accesorios para el Servicio de Extinción de Incendios y Salvamento (SEIS)","Suministros
Adquisición",Evaluación,"29.792,07",Present. Oferta:29/12/2023,Junta de Gobierno del Ayuntamiento de A Coruña
41,"108/2018/87
servicio de especialidad preventiva de medicina del trabajo a integrar en el Servicio de Prevención de Riesgos del Ayuntamiento de A Coruña","Servicios
Servicios sociales y de salud",Resuelta,"58.316,60","Publicación PLACSP:
Adjudicación:18/11/2019
Formalización:14/05/2020",Junta de Gobierno del Ayuntamiento de A Coruña
42,"230/2023/196
Procedimiento abierto simplificado de tramitación abreviada para contratar el servicio de mantenimiento de los extintores, bocas de incendios equipadas (BIES) y sistema de detección de los Museos Científicos municipales","Servicios
Servicios de mantenimiento y reparación",Evaluación,"5.427,82",Present. Oferta:28/12/2023,Junta de Gobierno del Ayuntamiento de A Coruña
43,"521/2023/68
Obras comprendidas en el proyecto de Carril bici en Novo Mesoiro - Presupuestos Participativos 2021","Obras
Construcción",Evaluación,"114.066,93",Present. Oferta:02/01/2024,Junta de Gobierno del Ayuntamiento de A Coruña
44,"238/2023/71
Adquisición de una herramienta de carga y gestión de la información, implementación del nuevo Observatorio Urbano - Observatorio Municipal de Igualdad, Diversidad y Sostenibilidad de A Coruña (NOU-OMIDS) y para la puesta en funcionamiento de una nueva web NOU-OMIDS","Suministros
Adquisición",Parcialmente Resuelta,"100.811,30","Publicación PLACSP:
Adjudicación:08/11/2023
Formalización:06/12/2023",Junta de Gobierno del Ayuntamiento de A Coruña
45,"238/2023/71 L2
Adquisición de una herramienta de carga y gestión de la información, implementación del nuevo Observatorio Urbano - Observatorio Municipal de Igualdad, Diversidad y Sostenibilidad de A Coruña (NOU-OMIDS) y para la puesta en funcionamiento de una nueva web NOU-OMIDS. Lote 2","Suministros
Adquisición",Resuelta,"100.811,30","Publicación PLACSP:
Adjudicación:08/11/2023
Formalización:06/12/2023",Junta de Gobierno del Ayuntamiento de A Coruña
46,"CI1/2023/123
Procedimiento abierto simplificado abreviado para contratar el servicio de mantenimiento del Museo Arqueológico y Casas Museo","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"9.662,17","Publicación PLACSP:
Adjudicación:02/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
47,"239/2023/260
Procedimiento abierto simplificado abreviado para la contratación del servicio de remisión electrónica de datos o documentos del IMCE a la Seguridad Social","Servicios
Servicios de consultores de dirección y servicios conexos",Evaluación,"10.000,00",Present. Oferta:14/12/2023,Consejo Rector del Instituto Municipal de Coruña Espactáculos
48,"231/2023/45
Servicios de diseño y ejecución de distintas acciones formativas para la red de bibliotecas municipales de A Coruña con el objetivo de dotar de competencias digitales a la ciudadanía.","Servicios
Otros servicios",Resuelta,"51.473,18","Publicación PLACSP:
Adjudicación:21/10/2023
Formalización:28/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
49,"GA2/2023/63
Procedimiento abierto simplificado de tramitación abreviada para contratar los trabajos de impresión, ensobrado y envío de una carta de la alcaldesa a las niñas y niños con motivo de la visita de los Reyes Magos a la ciudad de A Coruña","Servicios
Otros servicios",Adjudicada,"11.056,88","Publicación PLACSP:
Adjudicación:24/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
50,"851/2023/46
Procedimiento abierto simplificado abreviado para contratar el servicio de mantenimiento de ascensores y escaleras mecánicas de la estación de autobuses de A Coruña","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"26.528,77","Publicación PLACSP:
Adjudicación:23/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
51,"430/2023/5 L8
Servicio seguridad y vigilancia, control accesos, suministro e instalación, gestión y mantenimiento sistemas electrónicos de seguridad y de videovigilancia, servicio conexión a CRA, servicio de custodia de llaves en CRA y de intervención inmediata (acuda) en edificios municipales pertenecientes al Ayuntamiento de A Coruña y al IMCE y su control de calidad, por lotes. Lote 8 IMCE","Servicios
Otros servicios",Resuelta,"8.821.927,65","Publicación PLACSP:
Adjudicación:22/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
52,"430/2023/5 L2
Servicio de Seguridad y Vigilancia, Control de Accesos, Suministro e Instalación, Gestión y Mantenimiento de Sistemas Electrónicos de Seguridad y de Videovigilancia, Servicio de Conexión a CRA, Servicio de Custodia de llaves en CRA y de Intervención Inmediata (ACUDA) en Edificios Municipales del Ayuntamiento de A Coruña y al IMCE y su control de calidad, por lotes. Lote 2 Deportes","Servicios
Otros servicios",Resuelta,"8.821.927,65","Publicación PLACSP:
Adjudicación:22/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
53,"430/2023/5
Servicio de Seguridad y Vigilancia, Control de Accesos, Suministro e Instalación, Gestión y Mantenimiento de Sistemas Electrónicos de Seguridad y de Videovigilancia, Servicio de Conexión a CRA, Servicio de Custodia de llaves en CRA y de Intervención Inmediata (ACUDA) en Edificios Municipales pertenecientes al Ayuntamiento de A Coruña y al IMCE y su Control de Calidad, por lotes","Servicios
Otros servicios",Parcialmente Resuelta,"8.821.927,65","Publicación PLACSP:
Adjudicación:22/11/2023
Formalización:21/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
54,"A31/2023/34
Servicio de medición en nube mediante dispositivos para una red de vigilancia de exposición ocupacional a concentraciones de gas radón interior en dependencias municipales del ayuntamiento de A Coruña","Servicios
Otros servicios",Resuelta,"47.520,00","Publicación PLACSP:
Adjudicación:13/10/2023
Formalización:17/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
55,"100/2023/14
Contratación de los servicios diversos de asistencia técnica de soporte, desarrollo y evolución de los servicios digitales a la ciudadanía en el ámbito del sistema de sugerencias y reclamaciones, app ciudadana municipal y ticketing","Servicios
Servicios de informática y servicios conexos",Evaluación,"190.082,64",Present. Oferta:14/12/2023,Junta de Gobierno del Ayuntamiento de A Coruña
56,"524/2023/5
Servicio de Gerencia y Asistencia Técnica en la Ejecución y Desarrollo del Plan de Sostenibilidad Turística ""A Coruña Sostenible y Digital""","Servicios
Otros servicios",Resuelta,"42.535,58","Publicación PLACSP:
Adjudicación:16/10/2023
Formalización:15/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
57,"851/2023/50
Contratación del suministro de actuaciones complementarias a la zona de bajas emisiones de A Coruña (ZBECoR), pantallas led exteriores de información de la calidad ambiental y de tráfico a la ciudadanía, con cargo a los fondos del Plan Nacional de Recuperación, Transformación y Resiliencia, financiados por la Unión Europea (Next Generation)","Suministros
Adquisición",Evaluación,"88.158,68",Present. Oferta:30/11/2023,Junta de Gobierno del Ayuntamiento de A Coruña
58,"230/2023/109
Procedimiento abreviado simplificado para la contratación de obras comprendidas en el proyecto de remodelación del sanatorio de focas en el Aquarium Finisterrae de A Coruña","Obras
Construcción general de inmuebles y obras de ingeniería civil",Resuelta,"115.442,74","Publicación PLACSP:
Adjudicación:21/10/2023
Formalización:14/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
59,"430/2023/5 L7
Servicio seguridad y vigilancia, control accesos, suministro e instalación, gestión y mantenimiento sistemas electrónicos de seguridad y de videovigilancia, servicio conexión a CRA, servicio de custodia de llaves en CRA y de intervención inmediata (acuda) en edificios municipales pertenecientes al Ayuntamiento de A Coruña y al IMCE y su control de calidad. Lote 7 Urbanismo, Empleo y Empresa","Servicios
Otros servicios",Resuelta,"8.821.927,65","Publicación PLACSP:
Adjudicación:29/09/2023
Formalización:02/11/2023",Junta de Gobierno del Ayuntamiento de A Coruña
60,"521/2022/909
Suministro de Mobiliario Urbano destinado a Vías Públicas","Suministros
Adquisición",Resuelta,"198.213,52","Publicación PLACSP:
Adjudicación:13/09/2023
Formalización:29/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
61,"236/2022/150
Servicio de organización y gestión de un programa educativo para cursar 1ª de bachillerato en EE.UU. durante el curso 2023/2024.","Servicios
Servicios de educación y formación profesional",Resuelta,"650.000,00","Publicación PLACSP:
Adjudicación:25/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
62,"238/2023/198
El objeto de la presente contratación del servicio de gestión, coordinación y dinamización del espacio para la juventud de las Naves del Metrosidero.","Servicios
Servicios de esparcimiento, culturales y deportivos",Resuelta,"110.110,99","Publicación PLACSP:
Adjudicación:27/09/2023
Formalización:25/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
63,"A31/2023/31
Servicio de mantenimiento especializado de la aplicación informática CIBERSAD (asistencia a domicilio).","Servicios
Servicios de mantenimiento y reparación",Resuelta,"54.684,00","Publicación PLACSP:
Adjudicación:18/10/2023
Formalización:24/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
64,"GEY/2023/63
Servicio de Mantenimiento de los equipos Hi-Scan 5030 instalados en el Palacio Municipal de María Pita","Servicios
Servicios de mantenimiento y reparación",Resuelta,"2.453,23","Publicación PLACSP:
Adjudicación:16/10/2023
Formalización:17/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
65,"230/2023/71
Procedimiento abierto simplificado abreviado para la contratación del servicio de mantenimiento de los equipos de alta y baja presión del Aquarium Finisterrae","Servicios
Servicios de mantenimiento y reparación",Resuelta,"3.820,45","Publicación PLACSP:
Adjudicación:17/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
66,"231/2023/68
Diseño y ejecución de actividades de promoción de la lectura en las bibliotecas municipales","Servicios
Servicios de esparcimiento, culturales y deportivos",Resuelta,"42.856,05","Publicación PLACSP:
Adjudicación:21/09/2023
Formalización:17/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
67,"211/2020/920
Concesión demanial de la Cafetería del Palacio de los Deportes de Riazor",Concesión de Servicios,Resuelta,"0,00","Publicación PLACSP:
Adjudicación:11/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
68,"A31/2023/10
Servicios de Apoyo en la Transformación Digital del Ayuntamiento de A Coruña, por lotes, susceptible de ser financiado por el Plan de Recuperación, Transformacón y Resiliencia - Financiado por la Unión Europea - Next GenerationEU","Servicios
Otros servicios",Resuelta,"299.100,00","Publicación PLACSP:
Adjudicación:13/09/2023
Formalización:15/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
69,"831/2023/38
Suministro de un vehículo de primera salida-autobomba para el servicio de prevención, extinción de incendios y salvamento del Ayuntamiento de A Coruña","Suministros
Adquisición",Evaluación,"371.900,83",Present. Oferta:10/11/2023,Junta de Gobierno del Ayuntamiento de A Coruña
70,"526/2023/19
Servicios para la Impartición de Acciones Formativas Presenciales del Servicio Municipal de Empleo y Empresa. Por lotes. Programación 2/23.","Servicios
Otros servicios",Parcialmente Resuelta,"139.794,79","Publicación PLACSP:
Adjudicación:07/09/2023
Formalización:10/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
71,"521/2020/295
Obras de mejora de accesibilidad en calle Castaños, financiado con los fondos Next Generation EU","Obras
Construcción",Evaluación,"170.372,50",Present. Oferta:30/10/2023,Junta de Gobierno del Ayuntamiento de A Coruña
72,"521/2021/664
Procedimiento abierto simplificado para la contratación de las obras de reordenación del cruce entre la calle Bergondo y la Avenida Casanova de Eirís, financiado por la Unión Europea - Next Generation","Obras
Construcción de autopistas,carreteras, campos de aterrizaje, vías férreas y centros deportivos",Evaluación,"159.868,33",Present. Oferta:30/10/2023,Junta de Gobierno del Ayuntamiento de A Coruña
73,"521/2022/740
Red de Saneamiento Separativo en el Barrio de las Flores: Pluviales en la avda. Salvador de Madariaga. POS+Adicional 2/2022","Obras
Construcción",Resuelta,"198.334,86","Publicación PLACSP:
Adjudicación:02/10/2023
Formalización:09/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
74,"851/2023/41
Procedimiento abierto simplificado abreviado para contratar el servicio de mantenimiento de los extintores, bocas de incendio, equipadas (BIEs) y sistema de detección en la estación de autobuses de A Coruña","Servicios
Otros servicios",Adjudicada,"1.664,81","Publicación PLACSP:
Adjudicación:05/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
75,"236/2023/77
Servicio de apoyo técnico a la gestión del Consejo Municipal de la Infancia de A Coruña CLIAC","Servicios
Otros servicios",Adjudicada,"17.496,17","Publicación PLACSP:
Adjudicación:03/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
76,"541/2022/1266
Suministro, instalación y mejora del Mobiliario ENIL Torre de Hércules, cofinanciado en un 80 % por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del Programa Operativo Plurirregional de España 2014-2020","Suministros
Adquisición",Resuelta,"184.998,77","Publicación PLACSP:
Adjudicación:30/08/2023
Formalización:02/10/2023",Junta de Gobierno del Ayuntamiento de A Coruña
77,"521/2021/802
Obras de reurbanización de las calles San Mateo y Padre Sarmiento. Financiado con los fondos Next Generation EU","Obras
Construcción",Evaluación,"688.830,73",Present. Oferta:23/10/2023,Junta de Gobierno del Ayuntamiento de A Coruña
78,"105/2022/449
Servicios de Atención en la calle a las personas sin hogar (PSH) en el término municipal de A Coruña (Sinhogarismo), período 2023/2025","Servicios
Otros servicios",Resuelta,"341.366,14","Publicación PLACSP:
Adjudicación:30/08/2023
Formalización:27/09/2023",Junta de Gobierno del Ayuntamiento de A Coruña
79,"GEY/2023/18
Contrato de servicios de póliza de seguro de responsabilidad civil de personal, autoridades, altos cargos y directivos al servicio de la Administración General del Ayuntamiento de A Coruña",Privado,Resuelta,"30.081,50","Publicación PLACSP:
Adjudicación:21/09/2023
Formalización:25/09/2023",Junta de Gobierno del Ayuntamiento de A Coruña
